wavelength,transmission_u,transmission_g,transmission_r,transmission_i,transmission_z,transmission_q
260.0,5.05e-05,3.1e-05,6.32e-06,-3.04e-05,3.44e-05,-1.71e-05
260.5,3.46e-05,2.46e-05,2.09e-05,-2.2e-05,-1.25e-05,-2.76e-05
261.0,4.91e-05,2.55e-05,3.08e-05,-1.48e-05,8.04e-05,7.56e-06
261.5,4.7e-05,3.49e-05,3.92e-05,-7.76e-06,7.55e-05,-4.38e-05
262.0,4.72e-05,7.51e-06,3.22e-05,8.39e-06,-1.79e-05,0.000124521
262.5,-2.83e-05,1.25e-05,7.93e-06,-9.27e-06,-5.07e-05,-1.89e-05
263.0,-4.56e-05,3.24e-05,-2.85e-06,1.64e-06,5.73e-06,1.56e-05
263.5,9.61e-05,2.89e-05,-1.14e-05,-6.58e-06,4.1e-05,1.14e-06
264.0,-0.00011902,2.63e-05,5.06e-07,-9.43e-06,6.28e-05,0.000127097
264.5,1.39e-05,2.21e-05,-2.34e-05,-1.82e-05,-6.47e-05,-2.91e-05
265.0,5.05e-05,5.32e-05,1.4e-05,-6.67e-06,3.17e-05,0.000199645
265.5,9.43e-06,4.56e-05,3.84e-05,3.98e-06,-0.000120623,3.89e-05
266.0,5.8e-06,1.44e-05,3.53e-05,1.78e-06,-2.27e-05,8.63e-05
266.5,0.000126308,5.88e-06,2.4e-05,-1.48e-05,-3.3e-05,3.83e-05
267.0,5.72e-05,1.6e-06,3.27e-05,1.78e-05,-5.26e-06,6.47e-06
267.5,0.000141921,4.38e-05,-1.81e-06,2.01e-06,-8.94e-05,-1.38e-05
268.0,3.66e-05,1.53e-05,-2.79e-05,1.97e-05,2.03e-05,0.000131059
268.5,-4.14e-05,4.15e-05,1.79e-05,-1.32e-05,3.61e-05,0.000136967
269.0,7.32e-05,1.51e-05,1.16e-05,5.7e-06,0.000157298,0.000121315
269.5,1.45e-05,1.44e-05,1.7e-05,-1.29e-05,2.31e-05,0.000112109
270.0,-5.11e-05,2.47e-05,1.72e-05,1.11e-05,4.14e-05,0.000179092
270.5,-3.45e-06,-4.01e-06,4.43e-05,-2.89e-06,-0.000139275,0.000118546
271.0,-3.44e-05,3.19e-05,9.75e-06,-2.77e-06,-9.34e-05,-0.000254872
271.5,-2.25e-05,2.49e-05,1.39e-05,-2.26e-06,-0.000145606,-2.37e-07
272.0,0.000148756,3.03e-06,-1.28e-05,-1.63e-05,-0.000120001,4.68e-05
272.5,1.17e-05,-6.45e-06,-2.6e-05,-1.05e-06,-0.000187236,0.000188916
273.0,-3.02e-05,2.37e-05,-4.05e-05,1.82e-05,1.19e-06,5.49e-06
273.5,2.18e-05,2.6e-05,1.66e-06,3.57e-05,4.7e-05,1.46e-05
274.0,0.000225254,1.94e-05,-6.71e-06,-1.47e-05,0.000156392,-0.000111255
274.5,0.000107837,1.45e-05,4.06e-05,-2.57e-06,-6.96e-05,-8.06e-05
275.0,-0.000208665,-1.3e-05,9.56e-06,4.96e-06,0.000103324,7.1e-05
275.5,3.67e-05,2.24e-05,1.94e-05,2.06e-05,0.000212283,0.000150457
276.0,-3.46e-05,2.2e-05,7.55e-06,-5.17e-06,-0.000206566,7.82e-05
276.5,-0.000155896,3.21e-05,1.62e-06,-1.68e-05,-7.76e-05,0.000173492
277.0,6.46e-07,2.74e-05,-2.4e-05,-2.61e-06,9.65e-07,-9.16e-05
277.5,7.06e-05,3.26e-05,-2.68e-05,-3.19e-05,4.3e-05,0.00010984
278.0,-0.000110564,-2.95e-05,-1.8e-05,-1.7e-05,5.48e-06,7.64e-05
278.5,4.14e-05,4.03e-05,2.84e-05,1.16e-05,-7.01e-05,6.14e-05
279.0,2.18e-05,2.73e-07,2.79e-05,1.06e-05,0.000102763,0.000147346
279.5,2.08e-05,1.42e-05,1.98e-05,-4.73e-06,-5.53e-05,2.07e-05
280.0,-3.2e-05,3.22e-05,3.64e-05,-1.04e-05,-8.81e-05,-0.000131779
280.5,-0.000114358,6.72e-05,8.53e-06,6.08e-06,-8.37e-05,-4.91e-05
281.0,-9.88e-05,1.62e-05,6.66e-06,-4.3e-05,-6.12e-06,-0.000176448
281.5,-3.45e-05,1.38e-05,-2.32e-05,-6.24e-07,1.61e-05,0.000156819
282.0,5.73e-05,1.55e-05,-1.73e-05,-2.13e-05,4.75e-05,-2.65e-05
282.5,-0.000122511,3.75e-05,7.27e-06,2.17e-05,0.00011829,1.56e-06
283.0,-2.03e-05,1.48e-05,3.3e-05,-9.12e-06,8.69e-05,7.41e-05
283.5,3.42e-05,3.5e-05,4.87e-05,7.06e-06,0.00016625,-9.04e-06
284.0,-5.82e-05,4.79e-05,2.33e-05,-2.04e-06,0.000111492,3.77e-05
284.5,0.000108185,1.24e-05,3.15e-05,-1.05e-05,-9.2e-05,1.03e-05
285.0,-0.000110459,3.39e-05,3.71e-05,-1.24e-05,-6.72e-05,-2.39e-05
285.5,7.08e-05,3.04e-05,1.68e-05,-6.53e-06,0.000126812,7.26e-05
286.0,-3.69e-07,3.37e-05,4.61e-06,3.41e-05,8.13e-05,6.5e-05
286.5,-2.81e-05,1.66e-05,-1.15e-05,-1.47e-06,-0.000113573,-0.000146287
287.0,-1.01e-05,1.58e-05,-9.3e-06,-2.41e-05,-0.000163739,0.000216465
287.5,-4.77e-05,2.21e-05,-1.69e-05,2.72e-06,0.000135226,0.000101659
288.0,0.000126958,5.61e-05,-2.04e-06,2.66e-05,5.91e-05,8.46e-05
288.5,0.000155963,-1.94e-07,1.76e-05,3.07e-06,4.22e-05,4.11e-05
289.0,-5.36e-05,4.32e-05,3.58e-05,-1.49e-05,0.000103259,0.000261937
289.5,0.000170606,6.08e-05,2.55e-05,-2.87e-05,0.000175265,-9.82e-05
290.0,4.03e-05,7e-06,-1.07e-05,-2.88e-06,0.000109803,8.16e-05
290.5,-0.000177847,2.82e-05,6.77e-06,-2.66e-05,0.000180328,0.000122552
291.0,4.8e-05,7.97e-05,-2.53e-05,3.89e-05,8.5e-05,-8.47e-05
291.5,-0.000103821,1.98e-05,-2.43e-05,-3.8e-05,3.51e-05,-3.65e-05
292.0,6.41e-05,2.43e-05,-9.66e-07,-9.55e-06,3e-06,9.47e-07
292.5,-6.72e-05,-5.54e-06,4.32e-05,-4.59e-05,-0.000113767,0.000150528
293.0,0.000114929,5.65e-05,4.37e-05,2.82e-06,0.000177623,0.000193132
293.5,0.000111184,1.97e-05,1.25e-05,-2.86e-06,-0.000228187,-7.88e-05
294.0,0.000139137,7.26e-05,2.31e-05,-7.37e-06,9.22e-05,-6.39e-05
294.5,-9.96e-05,6.29e-06,5.68e-07,-1.7e-05,-7.27e-05,8.3e-05
295.0,0.000176077,6.21e-05,2.07e-05,-7.64e-06,0.00015302,0.000260641
295.5,-0.000138777,4.53e-05,-6.3e-06,1.82e-06,3.03e-05,5.51e-05
296.0,1.35e-05,4.88e-05,7.1e-07,-2.34e-05,-0.000125602,-0.000107642
296.5,0.000107214,6.53e-05,2.6e-05,-4.67e-05,-0.000359971,2.52e-05
297.0,-2.75e-05,4.71e-05,8.74e-06,-2.27e-05,0.000355894,-0.000113615
297.5,0.000117712,-8.71e-06,-3.48e-07,-1.49e-06,-0.000259689,-0.000174133
298.0,0.000185845,-1.98e-06,4.07e-05,-5.27e-06,5.65e-05,1.03e-05
298.5,0.00030363,4.88e-05,-2.79e-05,-2.4e-05,8.41e-05,0.000179716
299.0,-0.000103314,-3.81e-05,-4.78e-06,1.83e-05,8.82e-05,6.57e-05
299.5,7.81e-05,3.94e-05,-1.71e-05,-6.32e-05,0.000174241,0.000217319
300.0,6.9e-06,2.94e-05,-1.49e-05,9.73e-07,-1.33e-05,0.000237963
300.5,0.000304784,5.45e-06,-7.51e-06,-2.81e-06,0.000238799,0.000205408
301.0,0.000300694,6.67e-05,2.55e-05,-4.29e-05,-9.39e-05,0.00032609
301.5,-0.000189006,1.47e-05,5.82e-05,6.33e-06,-0.000137578,-0.000224149
302.0,-6.98e-06,1.07e-05,5.76e-05,-2.28e-05,0.000101704,0.000161653
302.5,-1.2e-05,2.04e-05,-2.44e-06,-6.52e-05,0.00019591,0.000256015
303.0,-3.87e-05,3.71e-05,-5.86e-06,-4.9e-05,0.00026362,0.000208415
303.5,-0.000115297,-8.69e-06,-9.96e-06,-3.3e-05,-1.18e-05,-0.000288505
304.0,9.82e-05,3.61e-05,7.74e-06,-6.17e-06,1.95e-05,0.000124538
304.5,-0.000100291,4.84e-05,9.67e-06,-5.24e-05,-0.000348851,-0.000160846
305.0,0.000196925,8.38e-05,2.76e-05,2.16e-05,0.000109798,0.000158692
305.5,5.81e-05,2.74e-05,4.46e-05,5.08e-05,-0.000175052,-3.78e-05
306.0,0.000518569,3.68e-05,-1.56e-05,-7.45e-06,0.000127988,0.000130945
306.5,-0.000151711,4.02e-05,-6.61e-06,-1.35e-05,8.16e-05,-0.000204259
307.0,0.000279217,7.3e-06,2.35e-05,-3.51e-05,-0.000201849,0.000174018
307.5,-0.000141171,4.12e-05,2.61e-06,4.87e-05,0.000143324,-0.000121895
308.0,5.36e-05,5.58e-05,-7.97e-06,3.83e-05,-0.000258448,-0.000149246
308.5,-0.000118899,2.84e-05,-9.18e-06,2.69e-05,0.000207127,6.56e-05
309.0,0.000356321,4.98e-05,1.51e-05,9.95e-06,-0.000103923,-0.000119599
309.5,-9.22e-05,8.16e-05,7.03e-06,-8.14e-06,-0.000385518,-4.43e-05
310.0,-0.000443986,6.69e-05,-1.75e-05,-1.99e-05,9.31e-05,-0.000343472
310.5,-0.00022381,5.38e-05,3.16e-05,-5.53e-05,-2.43e-05,-7.72e-05
311.0,-0.000149237,4.28e-05,4.86e-05,-3.09e-05,-7.39e-06,-4.45e-05
311.5,0.000163868,9.43e-05,3.41e-05,-3.62e-05,0.000439608,0.000353734
312.0,-2.17e-06,0.000295938,1.11e-05,6.71e-06,0.000264805,-4.78e-05
312.5,-0.000138053,0.000664048,-6.1e-07,2.44e-05,-0.000541753,-0.00019884
313.0,8.76e-05,0.000968477,3.8e-05,-3.08e-05,-0.000391393,-0.000340396
313.5,0.000155514,0.002457593,-1.46e-05,5.02e-06,-2.59e-05,-1.74e-05
314.0,6.72e-05,0.004400391,4.63e-06,5.92e-05,5.14e-05,4.35e-05
314.5,9.71e-05,0.003467836,3.84e-05,4.46e-05,0.000158065,-8.25e-05
